Club Name,Expenditure,Arrivals,Income,Departures,Balance,Year
Everton FC,€113.87m,34,€50.43m,35,€-63.45m,2020
Everton FC,€195.37m,42,€92.23m,42,€-103.15m,2019
Everton FC,€220.80m,41,€116.45m,45,€-104.35m,2018
Everton FC,€303.00m,42,€155.03m,43,€-147.97m,2017
Everton FC,€289.20m,41,€187.18m,39,€-102.02m,2016
Everton FC,€134.20m,36,€71.80m,36,€-62.40m,2015
Everton FC,€88.36m,35,€12.90m,32,€-75.46m,2014
Everton FC,€71.96m,36,€48.00m,34,€-23.96m,2013
Everton FC,€53.45m,31,€64.85m,32,€11.40m,2012
Everton FC,€28.85m,31,€45.55m,28,€16.70m,2011
Everton FC,€8.90m,31,€33.40m,29,€24.50m,2010
Everton FC,€25.00m,27,€34.94m,29,€9.94m,2009
Everton FC,€48.38m,29,€41.64m,25,€-6.74m,2008
Everton FC,€62.63m,30,€28.10m,26,€-34.53m,2007
Everton FC,€55.45m,29,€17.30m,31,€-38.15m,2006
Everton FC,€50.43m,30,€9.50m,28,€-40.93m,2005
Everton FC,€44.40m,26,€52.40m,29,€8.00m,2004
Everton FC,€21.79m,26,€46.38m,36,€24.59m,2003
Everton FC,€23.79m,39,€1.35m,34,€-22.44m,2002
Everton FC,€24.38m,28,€12.30m,25,€-12.08m,2001
Everton FC,€44.98m,23,€47.48m,28,€2.50m,2000
Everton FC,€42.08m,31,€56.38m,37,€14.30m,1999
Everton FC,€37.25m,31,€33.38m,32,€-3.87m,1998
Everton FC,€37.98m,38,€26.80m,30,€-11.18m,1997
Everton FC,€19.08m,33,€29.64m,33,€10.56m,1996
Everton FC,€27.73m,29,€15.81m,28,€-11.92m,1995
Everton FC,€29.36m,30,€2.67m,28,€-26.69m,1994
Everton FC,€16.43m,21,€3.95m,24,€-12.48m,1993
Fleetwood Town,-,4,-,2,+-0,2024
Fulham FC,€68.47m,21,€53.20m,20,€-15.27m,2023
Fulham FC,€141.67m,37,€75.10m,39,€-66.57m,2022
Fulham FC,€95.20m,33,€28.10m,37,€-67.10m,2021
Fulham FC,€59.25m,36,€6.20m,35,€-53.05m,2020
Fulham FC,€74.25m,39,€28.50m,35,€-45.75m,2019
Fulham FC,€153.50m,34,€33.85m,27,€-119.65m,2018
Fulham FC,€138.93m,36,€23.55m,39,€-115.38m,2017
Fulham FC,€47.98m,48,€41.98m,61,€-6.00m,2016
Fulham FC,€34.22m,60,€33.30m,64,€-915k,2015
Fulham FC,€26.10m,70,€27.42m,73,€1.33m,2014
Fulham FC,€46.73m,73,€22.05m,71,€-24.68m,2013
Fulham FC,€39.30m,59,€35.57m,57,€-3.73m,2012
Fulham FC,€28.13m,47,€39.09m,45,€10.97m,2011
Fulham FC,€29.18m,37,€20.48m,39,€-8.70m,2010
Fulham FC,€18.16m,43,€12.81m,46,€-5.35m,2009
Fulham FC,€33.96m,56,€16.33m,63,€-17.63m,2008
Fulham FC,€77.28m,67,€35.83m,66,€-41.46m,2007
Fulham FC,€64.23m,57,€30.02m,50,€-34.22m,2006
Fulham FC,€20.35m,43,€15.14m,47,€-5.21m,2005
Fulham FC,€20.50m,46,€9.83m,46,€-10.68m,2004
Fulham FC,€22.43m,54,€30.24m,48,€7.81m,2003
Fulham FC,€11.48m,41,€25.87m,37,€14.39m,2002
Fulham FC,€53.60m,22,€1.85m,25,€-51.75m,2001
Fulham FC,€65.62m,33,€4.44m,35,€-61.18m,2000
Fulham FC,€22.75m,37,€3.77m,35,€-18.97m,1999
Fulham FC,€12.24m,35,€2.04m,35,€-10.20m,1998
Fulham FC,€16.03m,44,€2.04m,39,€-13.98m,1997
Fulham FC,€11.57m,39,€600k,32,€-10.97m,1996
Fulham FC U21,-,2,-,0,+-0,2024
Gainsborough Trinity,-,1,-,2,+-0,2024
Hampton & Richmond Borough,-,3,-,7,+-0,2024
Huddersfield Town,€63.70m,44,€41.43m,42,€-22.27m,2018
Huddersfield Town,€107.45m,36,€18.79m,32,€-88.67m,2017
Huddersfield Town,€61.20m,43,€7.91m,37,€-53.30m,2016
Hull City,€500k,3,-,8,€-500k,2024
Hull City,€59.85m,50,€74.07m,44,€14.23m,2016
Hull City,€51.45m,40,€64.05m,40,€12.60m,2015
Hull City,€59.67m,44,€53.85m,52,€-5.82m,2014
Hull City,€79.32m,62,€19.58m,60,€-59.74m,2013
Hull City,€39.54m,71,€880k,69,€-38.66m,2012
Hull City,€10.05m,71,-,66,€-10.05m,2011
Hull City,€19.93m,62,€16.10m,69,€-3.83m,2009
Hull City,€32.80m,47,€7.10m,44,€-25.70m,2008
Hull City,€21.07m,48,€1.67m,44,€-19.41m,2007
Ipswich Town,€11.85m,60,€6.88m,59,€-4.97m,2009
Ipswich Town,€15.44m,63,€4.26m,61,€-11.18m,2008
Ipswich Town,€20.23m,28,€29.73m,33,€9.50m,2001
Ipswich Town,€30.13m,35,€18.00m,28,€-12.13m,2000
Ipswich Town,€17.53m,27,€13.50m,24,€-4.03m,1999
Ipswich Town,€8.90m,25,€12.03m,22,€3.13m,1998
Leeds United,€35.90m,27,€56.98m,29,€21.08m,2023
Leeds United,€193.29m,45,€148.08m,45,€-45.21m,2022
Leeds United,€216.69m,38,€114.50m,33,€-102.19m,2021
Leeds United,€187.10m,29,-,31,€-187.10m,2020
Leeds United,€128.09m,41,€30.40m,43,€-97.69m,2019
Leeds United,€39.83m,56,€25.05m,55,€-14.78m,2017
Leeds United,€11.38m,50,€12.83m,51,€1.45m,2013
Leeds United,€9.90m,66,€29.28m,67,€19.38m,2004
Leeds United,€4.13m,69,€44.53m,73,€40.41m,2003
Leeds United,€4.60m,46,€96.95m,50,€92.35m,2002
Leeds United,€50.80m,31,€84.69m,34,€33.89m,2001
Leeds United,€99.45m,22,€16.91m,24,€-82.55m,2000
